Strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate
SMAcross_Uniform,72.00%,11.51%,18.98%,0.6061,-37.71%,51.67%
SMAcross_RiskAdj,52.55%,8.85%,16.13%,0.5485,-32.92%,51.04%
TrailingRet_Uniform,239.09%,27.79%,27.60%,1.0068,-43.25%,52.55%
TrailingRet_RiskAdj,158.27%,20.99%,25.44%,0.8249,-44.00%,52.31%
